starttime	seconds	ctime	dtime	ttime	wait
Fri Nov 12 17:01:33 2021	1636707693	0	468	468	467
Fri Nov 12 17:01:48 2021	1636707708	0	469	469	468
Fri Nov 12 17:01:46 2021	1636707706	0	468	469	468
Fri Nov 12 17:01:51 2021	1636707711	0	471	471	470
Fri Nov 12 17:01:40 2021	1636707700	0	471	471	471
Fri Nov 12 17:01:47 2021	1636707707	0	471	471	471
Fri Nov 12 17:01:46 2021	1636707706	0	471	472	470
Fri Nov 12 17:01:40 2021	1636707700	0	472	472	468
Fri Nov 12 17:01:46 2021	1636707706	0	472	472	438
Fri Nov 12 17:01:42 2021	1636707702	0	475	475	465
Fri Nov 12 17:01:40 2021	1636707700	0	475	475	475
Fri Nov 12 17:01:34 2021	1636707694	0	475	475	475
Fri Nov 12 17:01:37 2021	1636707697	0	476	476	476
Fri Nov 12 17:01:45 2021	1636707705	0	476	476	476
Fri Nov 12 17:01:38 2021	1636707698	0	477	477	476
Fri Nov 12 17:01:45 2021	1636707705	0	477	477	408
Fri Nov 12 17:01:50 2021	1636707710	0	477	477	474
Fri Nov 12 17:01:47 2021	1636707707	0	480	480	480
Fri Nov 12 17:01:33 2021	1636707693	0	480	480	480
Fri Nov 12 17:01:47 2021	1636707707	0	483	483	482
Fri Nov 12 17:01:43 2021	1636707703	0	484	484	483
Fri Nov 12 17:01:32 2021	1636707692	5	480	485	479
Fri Nov 12 17:01:37 2021	1636707697	0	485	485	485
Fri Nov 12 17:01:35 2021	1636707695	0	486	486	485
Fri Nov 12 17:01:32 2021	1636707692	0	487	487	485
Fri Nov 12 17:01:41 2021	1636707701	0	488	488	487
Fri Nov 12 17:01:34 2021	1636707694	0	488	488	487
Fri Nov 12 17:01:34 2021	1636707694	0	489	489	488
Fri Nov 12 17:01:43 2021	1636707703	0	489	489	464
Fri Nov 12 17:01:47 2021	1636707707	0	490	490	489
Fri Nov 12 17:01:32 2021	1636707692	0	490	490	489
Fri Nov 12 17:01:47 2021	1636707707	0	490	490	489
Fri Nov 12 17:01:34 2021	1636707694	0	490	490	489
Fri Nov 12 17:01:32 2021	1636707692	0	491	491	490
Fri Nov 12 17:01:50 2021	1636707710	0	491	491	490
Fri Nov 12 17:01:45 2021	1636707705	0	492	492	491
Fri Nov 12 17:01:35 2021	1636707695	1	491	492	490
Fri Nov 12 17:01:47 2021	1636707707	0	493	493	491
Fri Nov 12 17:01:47 2021	1636707707	0	493	494	493
Fri Nov 12 17:01:40 2021	1636707700	0	494	494	493
Fri Nov 12 17:01:33 2021	1636707693	0	494	494	494
Fri Nov 12 17:01:32 2021	1636707692	0	495	495	494
Fri Nov 12 17:01:36 2021	1636707696	0	495	495	495
Fri Nov 12 17:01:34 2021	1636707694	0	496	496	495
Fri Nov 12 17:01:32 2021	1636707692	0	497	497	496
